username,email,password,passwordConfirmation
username1,vanetta.lynch@yahoo.com,IC6ZfB6Nh31uTa$,IC6ZfB6Nh31uTa$
username2,mohammed.fadel@gmail.com,5Nczj35Cyk$,5Nczj35Cyk$
username3,catarina.lehner@hotmail.com,601LT4g9X9$,601LT4g9X9$
username4,marilou.hayes@hotmail.com,Go23Md0nBpe$,Go23Md0nBpe$
username5,antony.hand@yahoo.com,zHhBpT0o$,zHhBpT0o$
username6,rosendo.morar@hotmail.com,moDWzwS2X17$,moDWzwS2X17$
username7,shandra.bernhard@yahoo.com,BpLms409C7$,BpLms409C7$
username8,luci.douglas@yahoo.com,eYBkM7bHE$,eYBkM7bHE$
username9,marco.mcclure@hotmail.com,CkZ44qpA$,CkZ44qpA$
username10,philip.little@gmail.com,E4uk6hM0888VzG$,E4uk6hM0888VzG$
